Organism.Name	Strain	species	genus	family	order	class	phylum	superkingdom
Acidithiobacillus ferrivorans SS3	SS3	Acidithiobacillus ferrivorans	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	Bacteria
Acidithiobacillus ferrooxidans ATCC 23270	ATCC 23270	Acidithiobacillus ferrooxidans	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	Bacteria
Acidithiobacillus ferrooxidans ATCC 53993	ATCC 53993	Acidithiobacillus ferrooxidans	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	Bacteria
Acidithiobacillus sp. GGI-221	GGI-221	Acidithiobacillus sp. GGI-221	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	Bacteria
Acidithiobacillus thiooxidans ATCC 19377	ATCC 19377	Acidithiobacillus thiooxidans	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	Bacteria
Acidobacterium capsulatum ATCC 51196	ATCC 51196	Acidobacterium capsulatum	Acidobacterium	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
Acidobacterium sp. MP5ACTX9	MP5ACTX9	Acidobacterium sp. MP5ACTX9	Acidobacterium	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
Acidocella sp. MX-AZ02	MX-AZ02	Acidocella sp. MX-AZ02	Acidocella	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acidothermus cellulolyticus 11B	11B	Acidothermus cellulolyticus	Acidothermus	Acidothermaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Acidovorax avenae subsp. avenae ATCC 19860	ATCC 19860	Acidovorax avenae	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax avenae subsp. avenae RS-1	RS-1	Acidovorax avenae	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax citrulli AAC00-1		Acidovorax citrulli	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax citrulli ZJU1106	ZJU1106	Acidovorax citrulli	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax delafieldii 2AN	2AN	Acidovorax delafieldii	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax ebreus TPSY	TPSY	Acidovorax ebreus	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax radicis N35	N35	Acidovorax radicis	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax radicis N35v	N35v	Acidovorax radicis	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax sp. CF316	CF316	Acidovorax sp. CF316	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Achromobacter piechaudii ATCC 43553	ATCC 43553	Achromobacter piechaudii	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Achromobacter piechaudii HLE	strain ANA	Achromobacter piechaudii	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Achromobacter xylosoxidans A8	A8	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Achromobacter xylosoxidans AXX-A	AXX-A	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Achromobacter xylosoxidans C54	C54	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Achromobacter xylosoxidans NBRC 15126 = ATCC 27061	NBRC 15126 = ATCC 27061	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidaminococcus fermentans DSM 20731	DSM 20731	Acidaminococcus fermentans	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Acidaminococcus intestini DSM 21505	DSM 21505	Acidaminococcus intestini	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Acidaminococcus intestini RyC-MR95		Acidaminococcus intestini	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Acidaminococcus sp. BV3L6	BV3L6	Acidaminococcus sp. BV3L6	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Acidaminococcus sp. D21	D21	Acidaminococcus sp. D21	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Acidaminococcus sp. HPA0509	HPA0509	Acidaminococcus sp. HPA0509	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Acidimicrobium ferrooxidans DSM 10331	DSM 10331	Acidimicrobium ferrooxidans	Acidimicrobium	Acidimicrobiaceae	Acidimicrobiales	Actinobacteria	Actinobacteria	Bacteria
Acidiphilium cryptum JF-5	JF-5	Acidiphilium cryptum	Acidiphilium	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acidiphilium multivorum	AIU301	Acidiphilium multivorum	Acidiphilium	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acidiphilium sp. PM	PM	Acidiphilium sp. PM	Acidiphilium	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
'Nostoc azollae' 0708	708	Trichormus azollae	Trichormus	Nostocaceae	Nostocales	NA	Cyanobacteria	Bacteria
Abiotrophia defectiva ATCC 49176	ATCC 49176	Abiotrophia defectiva	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Acaricomes phytoseiuli DSM 14247	DSM 14247	Acaricomes phytoseiuli	Acaricomes	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Acaryochloris marina MBIC11017	MBIC 11017	Acaryochloris marina	Acaryochloris	NA	Chroococcales	NA	Cyanobacteria	Bacteria
Acaryochloris sp. CCMEE 5410	CCMEE 5410	Acaryochloris sp. CCMEE 5410	Acaryochloris	NA	Chroococcales	NA	Cyanobacteria	Bacteria
Acetivibrio cellulolyticus CD2	CD2	Acetivibrio cellulolyticus	Acetivibrio	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Acetobacter aceti ATCC 23746	ATCC 23746	Acetobacter aceti	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter aceti NBRC 14818	NBRC 14818	Acetobacter aceti	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter nitrogenifigens DSM 23921	DSM 23921	Acetobacter nitrogenifigens	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus 386B	386B	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus 3P3	3P3	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus IFO 3283-01	IFO 3283-01	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus IFO 3283-01-42C	IFO 3283-01-42C	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus IFO 3283-03	IFO 3283-03	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus IFO 3283-22	IFO 3283-22	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus IFO 3283-26	IFO 3283-26	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus IFO 3283-32	IFO 3283-32	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus NBRC 101655	NBRC 101655	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus subsp. pasteurianus LMG 1262		Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pomorum DM001		Acetobacter pomorum	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter tropicalis NBRC 101654	NBRC 101654	Acetobacter tropicalis	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacteraceae bacterium AT-5844	AT-5844	Acetobacteraceae bacterium AT-5844	NA	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacterium dehalogenans DSM 11527	DSM 11527	Acetobacterium dehalogenans	Acetobacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Acetobacterium woodii DSM 1030	DSM 1030	Acetobacterium woodii	Acetobacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Acetohalobium arabaticum DSM 5501	DSM 5501	Acetohalobium arabaticum	Acetohalobium	Halobacteroidaceae	Halanaerobiales	Clostridia	Firmicutes	Bacteria
Acetonema longum DSM 6540	DSM 6540	Acetonema longum	Acetonema	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Acholeplasma axanthum ATCC 25176	ATCC 25176	Acholeplasma axanthum	Acholeplasma	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria
Acholeplasma laidlawii PG-8A	PG-8A	Acholeplasma laidlawii	Acholeplasma	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria
Acholeplasma multilocale ATCC 49900	ATCC 49900	Acholeplasma multilocale	Acholeplasma	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria
Acidovorax sp. KKS102	KKS102	Acidovorax sp. KKS102	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax sp. MR-S7	MR-S7	Acidovorax sp. MR-S7	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax sp. NO-1	NO-1	Acidovorax sp. NO-1	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 107m	107m	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 1605	1605	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 1656-2	1656-2	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 3909	3909	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 3990	3990	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 4190	4190	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 48055	48055	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 53264	53264	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 6013113	6013113	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 6013150	6013150	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii 6014059	6014059	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acidovorax sp. JHL-9	JHL-9	Acidovorax sp. JHL-9	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidovorax sp. JS42	JS42	Acidovorax sp. JS42	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acidithiobacillus caldus ATCC 51756	ATCC 51756	Acidithiobacillus caldus	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	Bacteria
Acidithiobacillus caldus SM-1	SM-1	Acidithiobacillus caldus	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus IFO 3283-07	IFO 3283-07	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acetobacter pasteurianus IFO 3283-12	IFO 3283-12	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Achromobacter arsenitoxydans SY8	SY8	Achromobacter arsenitoxydans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii A118	A118	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AA-014	AA-014	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB-HKU3-08	AB10I9	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB-HKU3-10	AB18G7	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB0057	AB0057	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB056	AB056	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB058	AB058	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB059	AB059	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB1H8	AB1H8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB210	AB210	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB307-0294	AB307-0294	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB405E4	AB405E4	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB4857	4857	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB4A3	AB4A3	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB5075	5075	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB5256	5256	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB5711	5711	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB900	AB900	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABIsac_ColiR	ABIsac_ColiR	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABIsac_ColiS	ABIsac_ColiS	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH1	ABNIH1	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH10	ABNIH10	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH11	ABNIH11	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH13	ABNIH13	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH14	ABNIH14	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH15	ABNIH15	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG2031	AB_TG2031	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG2032	AB_TG2032	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG2631	AB_TG2631	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG27323	AB_TG27323	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG27327	AB_TG27327	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG27331	AB_TG27331	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG27335	AB_TG27335	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG27339	AB_TG27339	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG27343	AB_TG27343	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG5064	AB_TG5064	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AC12	AC12	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AC30	AC30	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ACICU	ACICU	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ANC 4097	ANC 4097	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH19	ABNIH19	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH2	ABNIH2	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH20	ABNIH20	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH22	ABNIH22	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH23	ABNIH23	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH24	ABNIH24	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH25	ABNIH25	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH26	ABNIH26	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH3	ABNIH3	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH4	ABNIH4	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH5	ABNIH5	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH6	ABNIH6	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii ABNIH7	ABNIH7	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_1536-8	AB_1536-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_1582-8	AB_1582-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_1583-8	AB_1583-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_1594-8	AB_1594-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_1595-8	AB_1595-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_1649-8	AB_1649-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_515-8	AB_515-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_908-12	AB_908-12	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_908-13	AB_908-13	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_908-14-7	AB_908-14-7	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_909-01-7	AB_909-01-7	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_909-02-7	AB_909-02-7	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_909-05	AB_909-05	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_909-14-7	AB_909-14-7	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG19617	AB_TG19617	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG2018	AB_TG2018	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG2022	AB_TG2022	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG2023	AB_TG2023	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG2026	AB_TG2026	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_TG2028	AB_TG2028	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_2007-09-110-01-7	AB_2007-09-110-01-7	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_2007-16-25-01-7	AB_2007-16-25-01-7	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter baumannii AB_2007-16-27-01	AB_2007-16-27-01	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
